"apgcode","occurrences"
"guntrue_3079","12947"
"guntrue_6857","12947"
"guntrue_6883","12947"
"guntrue_9311","12947"
"guntrue_9337","12947"
"guntrue_1877","12932"
"guntrue_4363","12932"
"guntrue_4421","12932"
"guntrue_4447","12932"
"guntrue_6047","12932"
"guntrue_6073","12932"
"guntrue_6121","12932"
"guntrue_1663","12928"
"guntrue_7489","12915"
"guntrue_2143","12896"
"guntrue_3517","12896"
"guntrue_7561","12896"
"guntrue_1979","12882"
"guntrue_4111","12852"
"guntrue_1709","12834"
"guntrue_6367","12826"
"guntrue_8543","12826"
"guntrue_4817","12792"
"guntrue_5483","12792"
"guntrue_7481","12792"
"guntrue_2438","12769"
"guntrue_1999","12720"
"guntrue_2711","12720"
"guntrue_2749","12720"
"guntrue_2791","12720"
"guntrue_2801","12720"
"guntrue_6287","12720"
"guntrue_8431","12720"
"guntrue_1693","12710"
"guntrue_1937","12705"
"guntrue_1949","12705"
"guntrue_4391","12705"
"guntrue_6043","12705"
"guntrue_1723","12688"
"guntrue_1747","12600"
"guntrue_2153","12584"
"guntrue_1559","12540"
"guntrue_2687","12495"
"guntrue_2741","12495"
"guntrue_2767","12495"
"guntrue_2777","12495"
"guntrue_6199","12495"
"guntrue_1607","12480"
"guntrue_1931","12432"
"guntrue_1543","12408"
"guntrue_1697","12360"
"guntrue_3634","12312"
"guntrue_1583","12288"
"guntrue_1907","12210"
"guntrue_1993","12192"
"guntrue_1567","12160"
"guntrue_1613","12090"
"guntrue_1867","11990"
"guntrue_1597","11966"
"guntrue_1951","11880"
"guntrue_1961","11830"
"guntrue_1511","11776"
"guntrue_5428","11765"
"guntrue_1627","11760"
"guntrue_2273","11696"
"guntrue_1801","11662"
"guntrue_1549","11656"
"guntrue_1601","11640"
"guntrue_5315","11440"
"guntrue_1579","11400"
"guntrue_1811","11342"
"guntrue_9847","11330"
"guntrue_1553","11280"
"guntrue_1447","11264"
"guntrue_1769","11232"
"guntrue_1439","11200"
"guntrue_1787","11130"
"guntrue_1423","11072"
"guntrue_1489","11041"
"guntrue_1523","11040"
"guntrue_1531","11040"
"guntrue_1453","10912"
"guntrue_1399","10880"
"guntrue_1499","10860"
"guntrue_2209","10824"
"guntrue_6579","10744"
"guntrue_1483","10740"
"guntrue_1429","10726"
"guntrue_5715","10716"
"guntrue_1699","10710"
"guntrue_1367","10624"
"guntrue_3139","10608"
"guntrue_1721","10602"
"guntrue_2161","10578"
"guntrue_1459","10560"
"guntrue_1451","10500"
"guntrue_1433","10440"
"guntrue_1327","10368"
"guntrue_2071","10368"
"guntrue_7268","10368"
"guntrue_1381","10354"
"guntrue_2023","10340"
"guntrue_1427","10320"
"guntrue_1319","10304"
"guntrue_1667","10296"
"guntrue_1373","10292"
"guntrue_1409","10260"
"guntrue_2197","10260"
"guntrue_1303","10176"
"guntrue_1357","10168"
"guntrue_1871","10148"
"guntrue_1403","10140"
"guntrue_41","10080"
"guntrue_1279","9984"
"guntrue_1333","9982"
"guntrue_1637","9944"
"guntrue_1321","9920"
"guntrue_1361","9900"
"guntrue_1301","9796"
"guntrue_1391","9792"
"guntrue_1657","9790"
"guntrue_1621","9744"
"guntrue_1247","9728"
"guntrue_1994","9694"
"guntrue_1619","9690"
"guntrue_2162","9656"
"guntrue_1297","9638"
"guntrue_1277","9610"
"guntrue_1231","9600"
"guntrue_4890","9600"
"guntrue_2018","9590"
"guntrue_1289","9577"
"guntrue_1223","9536"
"guntrue_6806","9516"
"guntrue_1978","9490"
"guntrue_1753","9434"
"guntrue_1307","9420"
"guntrue_1673","9405"
"guntrue_2317","9387"
"guntrue_4634","9387"
"guntrue_1589","9350"
"guntrue_8213","9345"
"guntrue_1237","9300"
"guntrue_1291","9300"
"guntrue_1249","9272"
"guntrue_1838","9250"
"guntrue_1111","9248"
"guntrue_1283","9240"
"guntrue_1229","9238"
"guntrue_1571","9213"
"guntrue_1267","9180"
"guntrue_1259","9120"
"guntrue_1213","9114"
"guntrue_1609","9102"
"guntrue_1487","9047"
"guntrue_1103","9045"
"guntrue_1471","8964"
"guntrue_1151","8960"
"guntrue_1087","8911"
"guntrue_1217","8880"
